"","GSM452235","GSM452236","GSM452237","GSM452238","GSM452239","GSM452240","GSM452241","GSM452242","GSM452243","GSM452244","GSM452245","GSM452246","GSM452247","GSM452248","GSM452249","GSM452250","GSM452251","GSM452252","GSM452253","GSM452254","GSM452255","GSM452256","GSM452257","GSM452258","GSM452259","GSM452260"
"CPQ",-0.688643980920746,0.617055093792881,-0.55593889395425,1.89541405405158,-0.803266306369837,0.777090478297085,-0.989807367365351,-0.534282774569127,-0.366757082226824,-0.604277394340626,-0.446735506810049,-1.01487682886752,-0.944492477482429,-0.492649228643331,-0.746907384615535,-0.711723553302624,-1.02337238902885,-0.91086953600734,0.175627594123147,0.475976176438575,0.601387293911351,1.46245855394185,1.11493968438911,0.196419824792998,0.838465844750298,2.67976610601556
"FEZ1",-0.445422512495828,0.0241230970533813,-0.650908490176871,-0.381361081437644,-0.675488756002466,-0.742969319027555,0.304434115391289,-0.929848002198136,-0.153598197836988,-0.469451022906682,-1.03248326736245,-0.755955714725621,-0.243660445963165,0.506902078533922,-0.965312738332308,-0.223305050170445,-1.00823755799468,-0.247513975843897,0.52427799508704,1.07782004640926,0.235981411873562,1.05920049066736,0.200791677644515,1.87737494852638,-0.31079769450797,3.42540796579601
"CXCL1",-1.0147479151991,-0.415921619993123,-0.823192104595707,-0.545584241151283,-0.865171239596855,1.31918587064097,-1.11954934201977,0.0521852551455573,1.60568845823731,-1.15359279787904,-0.64384452305726,-0.744676348975475,-0.155964499995713,-0.884827699306839,-0.573829393662414,-0.77213330563354,-0.395122496462633,-0.674271524982884,1.0838499635621,0.52772274761412,-0.466777865831038,1.11784366180607,2.24998352650899,1.50923354113445,0.846030579046756,0.937483314646363
"IRF4",0.417731359964122,-0.94761955159077,0.200444787823935,-0.648256199289013,-0.281763684984548,-0.72415688260679,0.75656937317769,1.22574442374973,1.40972117184588,1.794164902911,-0.170022498013546,-0.834772071976372,1.5544400135685,-0.401673984553859,1.65217660537183,-0.196531296544996,1.54084359253134,0.676508128722664,-0.71858600947376,-1.14546014515442,-0.678340040204975,-1.16938196419661,-0.500719548568842,-1.01107514641884,-0.645474985213504,-1.15451035087584
"CD52",-0.694043636126218,0.421174777251377,-0.809274084569542,-0.324625755423465,0.759717286598161,-0.259692474433296,-1.0602611658365,-1.07136442438182,-1.03891559660097,-1.03766276903249,-0.481460766768957,-0.815769787697125,-0.493490286454956,-0.612022024604803,-0.527197879375694,-0.639887047253565,-0.086469765983482,-0.351309201360719,0.107029748847223,2.4315473946669,0.462874341296179,0.223934592429468,0.874900234470169,2.33152306661639,1.05860275646677,1.63214246726096
"OLFM1",-0.239720995942585,-0.354146433460791,-0.444857634417264,-0.481300268530806,-0.320922018223965,-0.171284766423064,-0.54368717298563,-0.428619856308325,-0.363515442836288,-0.483220391582335,-0.573063621923326,-0.440990919070531,-0.450519846793226,-0.368978032999541,-0.213837384284723,-0.544713959063156,-0.348300039264263,-0.445871185872953,-0.237621102611102,4.0851129914505,-0.167005572029076,1.12112017137354,0.69067512497417,1.83539271192053,-0.102828684970788,-0.00729567012500766
"CD38",0.986188079779841,-0.988076417921176,-0.487194308657872,-0.653792310356511,-0.396872090000878,-1.13254410395269,1.10231208816553,0.4559782127381,2.14959160828627,0.0665262666105598,1.13514666846584,1.50575941516743,0.6157221154586,0.287669877216238,1.75362380083965,0.577552314724658,-0.00648201300761393,0.164047203747388,-1.32057424773539,-1.24701585328303,-0.291935451735001,-1.25009253961205,-0.676683979848678,-0.866412331953621,-0.432814627659056,-1.04962737547654
"TNK1",0.090529700262411,-0.691261099911904,-1.0532355320417,-1.39776949441564,-1.06586041802246,-0.995247114491241,-1.26945158150322,-0.634073753806922,-0.905531690148686,-0.00136921596296502,0.718592601273705,-0.564339340090176,0.665634912400853,-0.282357613730374,0.152830170965109,0.934799495632988,-1.39478950863846,-0.597251932621579,2.26011040523828,0.694716094647307,1.1099549115748,0.978254188386898,0.221621609151748,1.50243872189956,0.175109112251666,1.3479463717
"EGR3",-0.707619973877553,0.822579994864582,0.291356326352583,-0.514927413834509,-0.577897539069897,0.180409800884774,-0.618245479165389,-0.30281093773177,-0.340732595674351,-0.55735937716278,-0.748771946631923,-0.663187253684638,-0.283843542012203,-0.622769968727354,-0.592210423611639,-0.543734425170402,-0.638564311680097,-0.753360264987129,1.92240526307393,-0.255525096748023,-0.203122445507841,0.706125280943105,-0.12683784413855,0.295482870969041,3.64762137006899,1.18553993225905
"ZNF365",-0.401029942245148,0.805155598769159,-0.140035665724828,-0.189234404199414,-0.714868288956954,-0.692215156144786,-1.11591656309936,-1.2171296836749,0.410903705793859,-0.750972960598557,0.263651722662981,-0.511466722976045,-0.944766915020517,-0.763590398102938,-1.04777622204736,-0.884954347515488,-0.727847611692311,-0.0197926778813983,0.767267980379822,2.70331866022311,0.464347975880622,0.539403855431867,1.40654265413275,1.90739181380298,-0.30935382147617,1.16296741427902
