"ID","adj.P.Val","P.Value","t","B","logFC","GB_ACC","SPOT_ID","Gene.Symbol","Gene.Title"
"222805_at",0.0482541372979867,7.32527370047169e-05,4.56162130450759,1.61626952286248,1.48762700860743,"AI587307","","MANEA","mannosidase, endo-alpha"
"205793_x_at",0.0482541372979867,7.10190722186094e-05,-4.57245005003108,1.60469505263611,-1.13619307656024,"NM_003985","","TNK1","tyrosine kinase, non-receptor, 1"
"210850_s_at",0.0411129624000724,3.23339256187126e-05,-4.84666968990501,1.58318063949737,-1.95654393539533,"AF000672","","ELK1","ELK1, member of ETS oncogene family"
"1564383_s_at",0.0442635642238121,3.74457503496787e-05,-4.79563169979797,1.56846523622723,-1.75200044824882,"AK093253","","FLJ35934","FLJ35934"
"208658_at",0.0489404018920497,7.66097053790197e-05,4.54594674308549,1.56729189483501,1.22714268240046,"BC000425","","PDIA4","protein disulfide isomerase family A, member 4"
"207406_at",0.0395746709024247,2.53171964835788e-05,-4.93164677190698,1.55965837610686,-2.55278972124953,"NM_000780","","CYP7A1","cytochrome P450, family 7, subfamily A, polypeptide 1"
"201761_at",0.0489404018920497,7.76551095810086e-05,4.54120411833943,1.53508214382627,0.827211584119571,"NM_006636","","MTHFD2","methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase"
"224690_at",0.0490147523319028,8.19494139624738e-05,-4.52236344626364,1.50351833656791,-0.789585390927398,"BG432350","","FAM210B","family with sequence similarity 210, member B"
"209253_at",0.0490147523319028,8.48224531523227e-05,-4.51029629081301,1.4827164061955,-1.10607809251238,"AF037261","","SORBS3","sorbin and SH3 domain containing 3"
"211656_x_at",0.0490147523319028,8.36086061464978e-05,-4.51534451154443,1.47572561604986,-1.25348489043504,"M32577","","HLA-DQB1 /// LOC101060835","major histocompatibility complex, class II, DQ beta 1 /// HLA class II histocompatibility antigen, DQ beta 1 chain-like"
"228910_at",0.0490147523319028,8.46595860190146e-05,-4.51096946539577,1.46963310951538,-0.901767089560526,"AI870617","","CD82","CD82 molecule"
"234568_at",0.0457200767245576,5.79602310810786e-05,-4.64342585803739,1.46510984231837,-1.62374973027948,"AL390185","","BC150507 /// SCAMP5","Homo sapiens cDNA clone IMAGE:40132534. /// secretory carrier membrane protein 5"
"1562247_at",0.0490147523319028,8.27277679303103e-05,-4.51905340794708,1.46355817746569,-1.46485429403569,"AL833160","","LOC286058","uncharacterized LOC286058"
"241676_x_at",0.0442635642238121,3.85086958938785e-05,-4.78589343871596,1.46320412590912,-2.4147682719092,"AI251979","","",""
"210320_s_at",0.0490147523319028,8.69580425458541e-05,4.50158572820061,1.45954546725771,0.678975342132192,"AF077033","","DDX52","DEAD (Asp-Glu-Ala-Asp) box polypeptide 52"
"208639_x_at",0.0490147523319028,8.6892475476922e-05,4.5018499970122,1.44219038211329,1.41089310191147,"BC001312","","PDIA6","protein disulfide isomerase family A, member 6"
"200020_at",0.0490147523319028,8.69396286378036e-05,4.50165992575422,1.43189365998308,0.87562273864758,"NM_007375","","TARDBP","TAR DNA binding protein"
"213759_at",0.0461144437651129,6.07268395260745e-05,-4.62714960612891,1.41048229726787,-1.8741678066171,"N74140","","ARL4C","ADP-ribosylation factor-like 4C"
"222704_at",0.0457200767245576,5.93712930488083e-05,4.63503045420139,1.40506465640958,1.96016865851781,"W93584","","POLR1A","polymerase (RNA) I polypeptide A, 194kDa"
