"Gene.Symbol","ID","GB_ACC","SPOT_ID","Species.Scientific.Name","Annotation.Date","Sequence.Type","Sequence.Source","Target.Description","Representative.Public.ID","Gene.Title","ENTREZ_GENE_ID","RefSeq.Transcript.ID","Gene.Ontology.Biological.Process","Gene.Ontology.Cellular.Component","Gene.Ontology.Molecular.Function","logFC","AveExpr","t","P.Value","adj.P.Val","B","ENTREZID"
"GPSM1","226043_at","AI242661","","Homo sapiens","Oct 6, 2014","Consensus sequence","GenBank","gb:AI242661 /DB_XREF=gi:3838058 /DB_XREF=qi18a10.x1 /CLONE=IMAGE:1856826 /FEA=mRNA /CNT=75 /TID=Hs.239370.0 /TIER=Stack /STK=35 /UG=Hs.239370 /LL=26086 /UG_GENE=DKFZP727I051 /UG_TITLE=DKFZP727I051 protein","AI242661","G-protein signaling modulator 1","26086","NM_001145638 /// NM_001145639 /// NM_001200003 /// NM_015597","0007275 // multicellular organismal development // inferred from electronic annotation /// 0007399 // nervous system development // inferred from electronic annotation /// 0008277 // regulation of G-protein coupled receptor protein signaling pathway // inferred from electronic annotation /// 0030154 // cell differentiation // inferred from electronic annotation /// 0050790 // regulation of catalytic activity // inferred from electronic annotation","0000139 // Golgi membrane // inferred from electronic annotation /// 0005634 // nucleus // inferred from direct assay /// 0005737 // cytoplasm // inferred from electronic annotation /// 0005783 // endoplasmic reticulum // inferred from electronic annotation /// 0005789 // endoplasmic reticulum membrane // inferred from electronic annotation /// 0005794 // Golgi apparatus // inferred from electronic annotation /// 0005794 // Golgi apparatus // inferred from direct assay /// 0005829 // cytosol // inferred from electronic annotation /// 0005886 // plasma membrane // inferred from electronic annotation /// 0016020 // membrane // inferred from electronic annotation","0005092 // GDP-dissociation inhibitor activity // inferred from electronic annotation /// 0005515 // protein binding // inferred from electronic annotation /// 0030695 // GTPase regulator activity // inferred from electronic annotation",-0.967981752709088,7.29301986539265,-4.69687256697298,4.97253446222667e-05,0.0453645189742902,1.97113273860444,"26086"
"HLA-DPA1","213537_at","AI128225","","Homo sapiens","Oct 6, 2014","Consensus sequence","GenBank","gb:AI128225 /DB_XREF=gi:3596739 /DB_XREF=qc33e05.x1 /CLONE=IMAGE:1711424 /FEA=EST /CNT=30 /TID=Hs.914.1 /TIER=Stack /STK=16 /UG=Hs.914 /UG_TITLE=Human mRNA for SB classII histocompatibility antigen alpha-chain","AI128225","major histocompatibility complex, class II, DP alpha 1","3113","NM_001242524 /// NM_001242525 /// NM_033554","0002376 // immune system process // inferred from electronic annotation /// 0002504 // antigen processing and presentation of peptide or polysaccharide antigen via MHC class II // inferred from electronic annotation /// 0006955 // immune response // non-traceable author statement /// 0019221 // cytokine-mediated signaling pathway // traceable author statement /// 0019882 // antigen processing and presentation // inferred from electronic annotation /// 0019886 // antigen processing and presentation of exogenous peptide antigen via MHC class II // inferred from mutant phenotype /// 0019886 // antigen processing and presentation of exogenous peptide antigen via MHC class II // traceable author statement /// 0031295 // T cell costimulation // traceable author statement /// 0032729 // positive regulation of interferon-gamma production // inferred from mutant phenotype /// 0042102 // positive regulation of T cell proliferation // inferred from mutant phenotype /// 0050852 // T cell receptor signaling pathway // traceable author statement /// 0050870 // positive regulation of T cell activation // inferred from mutant phenotype /// 0060333 // interferon-gamma-mediated signaling pathway // traceable author statement /// 0071346 // cellular response to interferon-gamma // inferred from direct assay","0000139 // Golgi membrane // traceable author statement /// 0005764 // lysosome // inferred from electronic annotation /// 0005765 // lysosomal membrane // traceable author statement /// 0005768 // endosome // inferred from electronic annotation /// 0005783 // endoplasmic reticulum // inferred from electronic annotation /// 0005789 // endoplasmic reticulum membrane // inferred from electronic annotation /// 0005794 // Golgi apparatus // inferred from electronic annotation /// 0005886 // plasma membrane // traceable author statement /// 0005887 // integral component of plasma membrane // non-traceable author statement /// 0009986 // cell surface // inferred from mutant phenotype /// 0010008 // endosome membrane // inferred from electronic annotation /// 0012507 // ER to Golgi transport vesicle membrane // traceable author statement /// 0016020 // membrane // inferred from electronic annotation /// 0016021 // integral component of membrane // inferred from electronic annotation /// 0030658 // transport vesicle membrane // traceable author statement /// 0030666 // endocytic vesicle membrane // traceable author statement /// 0030669 // clathrin-coated endocytic vesicle membrane // traceable author statement /// 0032588 // trans-Golgi network membrane // traceable author statement /// 0042613 // MHC class II protein complex // inferred from direct assay /// 0071556 // integral component of lumenal side of endoplasmic reticulum membrane // traceable author statement","0005515 // protein binding // inferred from electronic annotation /// 0032395 // MHC class II receptor activity // non-traceable author statement /// 0042605 // peptide antigen binding // inferred from direct assay",-1.4945273232988,10.0066793557431,-4.80509607187343,3.64406521748142e-05,0.0442635642238121,2.24512410246704,"3113"
"IFI44","214059_at","BE049439","","Homo sapiens","Oct 6, 2014","Consensus sequence","GenBank","gb:BE049439 /DB_XREF=gi:8366494 /DB_XREF=xw86e11.x1 /CLONE=IMAGE:2834924 /FEA=EST /CNT=14 /TID=Hs.82316.0 /TIER=Stack /STK=9 /UG=Hs.82316 /LL=10561 /UG_GENE=MTAP44 /UG_TITLE=interferon-induced, hepatitis C-associated microtubular aggregate protein (44kD)","BE049439","interferon-induced protein 44","10561","NM_006417 /// XM_005270380 /// XR_246226 /// XR_426586","0009615 // response to virus // traceable author statement","0005737 // cytoplasm // inferred from electronic annotation","",2.10070216978246,8.60676231269779,5.0018369708629,2.06811322700205e-05,0.0392349920845241,2.77893917581842,"10561"
"IRF4","204562_at","NM_002460","","Homo sapiens","Oct 6, 2014","Exemplar sequence","GenBank","gb:NM_002460.1 /DB_XREF=gi:4505286 /GEN=IRF4 /FEA=FLmRNA /CNT=143 /TID=Hs.82132.0 /TIER=FL /STK=0 /UG=Hs.82132 /LL=3662 /DEF=Homo sapiens interferon regulatory factor 4 (IRF4), mRNA. /PROD=interferon regulatory factor 4 /FL=gb:U52682.1 gb:NM_002460.1","NM_002460","interferon regulatory factor 4","3662","NM_001195286 /// NM_002460 /// NR_036585 /// NR_046000 /// XM_006715090","0006351 // transcription, DNA-templated // inferred from electronic annotation /// 0006355 // regulation of transcription, DNA-templated // inferred from electronic annotation /// 0006479 // protein methylation // inferred from electronic annotation /// 0018022 // peptidyl-lysine methylation // inferred from electronic annotation /// 0019221 // cytokine-mediated signaling pathway // traceable author statement /// 0034122 // negative regulation of toll-like receptor signaling pathway // inferred from electronic annotation /// 0042110 // T cell activation // non-traceable author statement /// 0042832 // defense response to protozoan // inferred from sequence or structural similarity /// 0043011 // myeloid dendritic cell differentiation // inferred from electronic annotation /// 0043388 // positive regulation of DNA binding // inferred from electronic annotation /// 0043966 // histone H3 acetylation // inferred from electronic annotation /// 0043967 // histone H4 acetylation // inferred from electronic annotation /// 0045082 // positive regulation of interleukin-10 biosynthetic process // inferred from direct assay /// 0045086 // positive regulation of interleukin-2 biosynthetic process // inferred from direct assay /// 0045368 // positive regulation of interleukin-13 biosynthetic process // inferred from direct assay /// 0045404 // positive regulation of interleukin-4 biosynthetic process // inferred from direct assay /// 0045622 // regulation of T-helper cell differentiation // non-traceable author statement /// 0045893 // positive regulation of transcription, DNA-templated // inferred from direct assay /// 0045944 // positive regulation of transcription from RNA polymerase II promoter // inferred from electronic annotation /// 0060333 // interferon-gamma-mediated signaling pathway // traceable author statement /// 0060337 // type I interferon signaling pathway // traceable author statement /// 0072540 // T-helper 17 cell lineage commitment // inferred from sequence or structural similarity","0000788 // nuclear nucleosome // inferred from electronic annotation /// 0005634 // nucleus // inferred by curator /// 0005737 // cytoplasm // inferred from direct assay /// 0005829 // cytosol // traceable author statement /// 0016020 // membrane // inferred from direct assay","0000975 // regulatory region DNA binding // inferred from electronic annotation /// 0003677 // DNA binding // inferred from electronic annotation /// 0003700 // sequence-specific DNA binding transcription factor activity // inferred from sequence or structural similarity /// 0003700 // sequence-specific DNA binding transcription factor activity // non-traceable author statement /// 0005515 // protein binding // inferred from physical interaction /// 0008134 // transcription factor binding // non-traceable author statement /// 0016279 // protein-lysine N-methyltransferase activity // inferred from electronic annotation /// 0043565 // sequence-specific DNA binding // inferred from sequence or structural similarity",1.54305185790257,8.69513652234491,4.7533895562312,4.22783045639361e-05,0.0442635642238121,2.11990972394752,"3662"
"KLHDC10","209254_at","AI808625","","Homo sapiens","Oct 6, 2014","Consensus sequence","GenBank","gb:AI808625 /DB_XREF=gi:5395191 /DB_XREF=wf56f12.x1 /CLONE=IMAGE:2359631 /FEA=FLmRNA /CNT=171 /TID=Hs.192966.0 /TIER=Stack /STK=8 /UG=Hs.192966 /LL=23008 /UG_GENE=KIAA0265 /UG_TITLE=KIAA0265 protein /FL=gb:AF277177.1","AI808625","kelch domain containing 10","23008","NM_014997 /// XM_005250233","","0005634 // nucleus // inferred from electronic annotation /// 0005737 // cytoplasm // inferred from electronic annotation","0005515 // protein binding // inferred from electronic annotation",1.13821907571021,6.22998823686793,5.09431277819155,1.58399461261568e-05,0.0328965266854366,2.94557117049659,"23008"
"KPNB1","208974_x_at","BC003572","","Homo sapiens","Oct 6, 2014","Exemplar sequence","GenBank","gb:BC003572.1 /DB_XREF=gi:13097743 /FEA=FLmRNA /CNT=196 /TID=Hs.180446.0 /TIER=FL+Stack /STK=30 /UG=Hs.180446 /LL=3837 /UG_GENE=KPNB1 /DEF=Homo sapiens, karyopherin (importin) beta 1, clone MGC:2156, mRNA, complete cds. /PROD=karyopherin (importin) beta 1 /FL=gb:NM_002265.1 gb:L38951.1 gb:BC003572.1","BC003572","karyopherin (importin) beta 1","3837","NM_001276453 /// NM_002265","0000060 // protein import into nucleus, translocation // traceable author statement /// 0006309 // apoptotic DNA fragmentation // traceable author statement /// 0006606 // protein import into nucleus // inferred from direct assay /// 0006607 // NLS-bearing protein import into nucleus // traceable author statement /// 0006610 // ribosomal protein import into nucleus // inferred from direct assay /// 0006810 // transport // inferred from electronic annotation /// 0006886 // intracellular protein transport // inferred from electronic annotation /// 0006913 // nucleocytoplasmic transport // inferred from electronic annotation /// 0006915 // apoptotic process // traceable author statement /// 0006921 // cellular component disassembly involved in execution phase of apoptosis // traceable author statement /// 0015031 // protein transport // inferred from electronic annotation /// 0016032 // viral process // traceable author statement /// 0019048 // modulation by virus of host morphology or physiology // inferred from electronic annotation /// 0019058 // viral life cycle // traceable author statement /// 0019221 // cytokine-mediated signaling pathway // traceable author statement /// 0044281 // small molecule metabolic process // traceable author statement /// 0075733 // intracellular transport of virus // traceable author statement","0005634 // nucleus // inferred from direct assay /// 0005635 // nuclear envelope // inferred from direct assay /// 0005643 // nuclear pore // traceable author statement /// 0005654 // nucleoplasm // traceable author statement /// 0005730 // nucleolus // inferred from direct assay /// 0005737 // cytoplasm // inferred from direct assay /// 0005829 // cytosol // traceable author statement /// 0016020 // membrane // inferred from direct assay /// 0031965 // nuclear membrane // inferred from direct assay /// 0043234 // protein complex // inferred from electronic annotation /// 0070062 // extracellular vesicular exosome // inferred from direct assay /// 0071782 // endoplasmic reticulum tubular network // inferred from direct assay","0005488 // binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0008139 // nuclear localization sequence binding // traceable author statement /// 0008270 // zinc ion binding // traceable author statement /// 0008536 // Ran GTPase binding // inferred from electronic annotation /// 0008565 // protein transporter activity // inferred from electronic annotation /// 0019899 // enzyme binding // inferred from physical interaction /// 0019904 // protein domain specific binding // inferred from physical interaction /// 0044822 // poly(A) RNA binding // inferred from direct assay",0.751436910131625,10.6277774008524,4.89878699242289,2.78300216163159e-05,0.0411129624000724,2.49912008438715,"3837"
"LARGE-AS1","1562449_s_at","BC043255","","Homo sapiens","Oct 6, 2014","Consensus sequence","GenBank","gb:BC043255.1 /DB_XREF=gi:27693338 /TID=Hs2.438471.1 /CNT=2 /FEA=mRNA /TIER=ConsEnd /STK=0 /UG=Hs.438471 /UG_TITLE=Homo sapiens, clone IMAGE:5296464, mRNA /DEF=Homo sapiens, clone IMAGE:5296464, mRNA.","BC043255","LARGE antisense RNA 1","100506195","NR_038949 /// NR_038950","","","",-1.66674567865743,2.58853608491639,-4.70435378272043,4.86693684146724e-05,0.0453645189742902,1.33380451296903,"100506195"
"LOC100996740","229872_s_at","AA532655","","Homo sapiens","Oct 6, 2014","Consensus sequence","GenBank","gb:AA532655 /DB_XREF=gi:2276909 /DB_XREF=nj17d09.s1 /CLONE=IMAGE:986609 /FEA=EST /CNT=21 /TID=Hs.295901.2 /TIER=Stack /STK=10 /UG=Hs.295901 /LL=57234 /UG_GENE=KIAA0493 /UG_TITLE=KIAA0493 protein","AA532655","uncharacterized LOC100996740","100996740","XM_003846501 /// XM_005276150","","","",-1.17678285468449,11.3765801778995,-5.6051238837959,3.6277788749073e-06,0.0198348809985557,4.40767055717291,"100996740"
"LOC101927609","239775_at","AI761504","","Homo sapiens","Oct 6, 2014","Consensus sequence","GenBank","gb:AI761504 /DB_XREF=gi:5177171 /DB_XREF=wi61b09.x1 /CLONE=IMAGE:2394713 /FEA=EST /CNT=6 /TID=Hs.214174.0 /TIER=ConsEnd /STK=4 /UG=Hs.214174 /UG_TITLE=ESTs","AI761504","uncharacterized LOC101927609","101927609","XR_242133 /// XR_250144 /// XR_252170 /// XR_426134 /// XR_428101 /// XR_432121","","","",-1.07014240726906,6.22892506352829,-5.16026621701204,1.30950356723237e-05,0.0325441397901954,3.17825473326798,"101927609"
"LTBP3","219922_s_at","NM_021070","","Homo sapiens","Oct 6, 2014","Exemplar sequence","GenBank","gb:NM_021070.1 /DB_XREF=gi:10835104 /GEN=LTBP3 /FEA=FLmRNA /CNT=18 /TID=Hs.289019.0 /TIER=FL /STK=0 /UG=Hs.289019 /LL=4054 /DEF=Homo sapiens latent transforming growth factor beta binding protein 3 (LTBP3), mRNA. /PROD=latent transforming growth factor beta bindingprotein 3 /FL=gb:AF135960.2 gb:NM_021070.1","NM_021070","latent transforming growth factor beta binding protein 3","4054","NM_001130144 /// NM_001164266 /// NM_021070","0001501 // skeletal system development // inferred from electronic annotation /// 0007179 // transforming growth factor beta receptor signaling pathway // inferred from electronic annotation /// 0030198 // extracellular matrix organization // traceable author statement /// 0030502 // negative regulation of bone mineralization // inferred from electronic annotation /// 0032331 // negative regulation of chondrocyte differentiation // inferred from electronic annotation /// 0036363 // transforming growth factor beta activation // inferred from mutant phenotype /// 0045780 // positive regulation of bone resorption // inferred from electronic annotation /// 0046849 // bone remodeling // inferred from electronic annotation /// 0060349 // bone morphogenesis // inferred from electronic annotation /// 0060430 // lung saccule development // inferred from electronic annotation /// 1902462 // positive regulation of mesenchymal stem cell proliferation // inferred from mutant phenotype /// 2000741 // positive regulation of mesenchymal stem cell differentiation // inferred from mutant phenotype","0005576 // extracellular region // traceable author statement /// 0031012 // extracellular matrix // inferred from direct assay /// 0070062 // extracellular vesicular exosome // inferred from direct assay","0005509 // calcium ion binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from electronic annotation /// 0019838 // growth factor binding // inferred from electronic annotation /// 0050431 // transforming growth factor beta binding // inferred from physical interaction",-1.0729044014738,6.82352656344279,-5.12114662300663,1.46599136801139e-05,0.0328965266854366,3.09072036000608,"4054"
"MANEA","222805_at","AI587307","","Homo sapiens","Oct 6, 2014","Consensus sequence","GenBank","gb:AI587307 /DB_XREF=gi:4573748 /DB_XREF=tq04f05.x1 /CLONE=IMAGE:2207841 /FEA=FLmRNA /CNT=49 /TID=Hs.46903.0 /TIER=Stack /STK=11 /UG=Hs.46903 /LL=79694 /UG_GENE=FLJ12838 /UG_TITLE=hypothetical protein FLJ12838 /FL=gb:NM_024641.1","AI587307","mannosidase, endo-alpha","79694","NM_024641 /// XM_005267147","0018279 // protein N-linked glycosylation via asparagine // traceable author statement /// 0043687 // post-translational protein modification // traceable author statement /// 0044267 // cellular protein metabolic process // traceable author statement","0000139 // Golgi membrane // traceable author statement /// 0005794 // Golgi apparatus // inferred from direct assay /// 0016020 // membrane // inferred from electronic annotation /// 0016021 // integral component of membrane // inferred from electronic annotation","0004559 // alpha-mannosidase activity // inferred from electronic annotation /// 0004569 // glycoprotein endo-alpha-1,2-mannosidase activity // inferred from electronic annotation /// 0016787 // hydrolase activity // inferred from electronic annotation",1.48762700860743,7.85872753812887,4.56162130450759,7.32527370047169e-05,0.0482541372979867,1.61626952286248,"79694"
"METTL9","217868_s_at","NM_016025","","Homo sapiens","Oct 6, 2014","Exemplar sequence","GenBank","gb:NM_016025.1 /DB_XREF=gi:7705788 /GEN=DREV1 /FEA=FLmRNA /CNT=226 /TID=Hs.279583.0 /TIER=FL+Stack /STK=11 /UG=Hs.279583 /LL=51108 /DEF=Homo sapiens CGI-81 protein (DREV1), mRNA. /PROD=CGI-81 protein /FL=gb:NM_016025.1 gb:AF151839.1 gb:BC000195.1","NM_016025","methyltransferase like 9","51108","NM_001077180 /// NM_001288659 /// NM_001288660 /// NM_016025 /// XM_006721049","0008152 // metabolic process // inferred from electronic annotation","","0005515 // protein binding // inferred from physical interaction /// 0008168 // methyltransferase activity // inferred from electronic annotation",-0.731365092114903,10.9263686032428,-4.77765379530942,3.94314439311595e-05,0.0442635642238121,2.1648794657393,"51108"
"MIB2","228261_at","BE045549","","Homo sapiens","Oct 6, 2014","Consensus sequence","GenBank","gb:BE045549 /DB_XREF=gi:8362602 /DB_XREF=hh23d12.x1 /CLONE=IMAGE:2955959 /FEA=EST /CNT=20 /TID=Hs.135805.0 /TIER=Stack /STK=11 /UG=Hs.135805 /UG_TITLE=ESTs, Weakly similar to KIAA1323 protein (H.sapiens)","BE045549","mindbomb E3 ubiquitin protein ligase 2","142678","NM_001170686 /// NM_001170687 /// NM_001170688 /// NM_001170689 /// NM_080875 /// NR_033183 /// XM_006710366 /// XM_006710367 /// XM_006710368 /// XM_006710369 /// XM_006710370 /// XM_006710371 /// XM_006710372 /// XM_006710373 /// XM_006710374 /// XM_006710375","0007219 // Notch signaling pathway // inferred from electronic annotation /// 0016567 // protein ubiquitination // inferred from electronic annotation /// 0043123 // positive regulation of I-kappaB kinase/NF-kappaB signaling // inferred from mutant phenotype","0000151 // ubiquitin ligase complex // inferred from electronic annotation /// 0005737 // cytoplasm // inferred from electronic annotation /// 0005768 // endosome // inferred from electronic annotation /// 0005769 // early endosome // inferred from electronic annotation","0003779 // actin binding // inferred from electronic annotation /// 0004842 // ubiquitin-protein transferase activity // inferred from electronic annotation /// 0004871 // signal transducer activity // inferred from mutant phenotype /// 0005515 // protein binding // inferred from physical interaction /// 0008270 // zinc ion binding // inferred from electronic annotation /// 0016874 // ligase activity // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation",-1.00217422751899,6.24811540615895,-6.10127918283069,8.72379064710224e-07,0.0126853840460491,5.62829124246948,"142678"
"MLEC","200616_s_at","BC000371","","Homo sapiens","Oct 6, 2014","Exemplar sequence","GenBank","gb:BC000371.1 /DB_XREF=gi:12653206 /FEA=FLmRNA /CNT=482 /TID=Hs.181418.0 /TIER=FL+Stack /STK=34 /UG=Hs.181418 /LL=9761 /UG_GENE=KIAA0152 /DEF=Homo sapiens, KIAA0152 gene product, clone MGC:8341, mRNA, complete cds. /PROD=KIAA0152 gene product /FL=gb:NM_014730.1 gb:BC000371.1 gb:D63486.1","BC000371","malectin","9761","NM_014730","0005975 // carbohydrate metabolic process // inferred from electronic annotation /// 0006457 // protein folding // traceable author statement /// 0018279 // protein N-linked glycosylation via asparagine // traceable author statement /// 0043687 // post-translational protein modification // traceable author statement /// 0044267 // cellular protein metabolic process // traceable author statement","0005783 // endoplasmic reticulum // inferred from sequence or structural similarity /// 0005789 // endoplasmic reticulum membrane // traceable author statement /// 0016020 // membrane // inferred from direct assay /// 0016020 // membrane // inferred from electronic annotation /// 0016021 // integral component of membrane // inferred from electronic annotation","0019899 // enzyme binding // inferred from physical interaction /// 0030246 // carbohydrate binding // inferred from sequence or structural similarity",1.51127109696299,8.90388529223219,6.06466987288992,9.68706766711356e-07,0.0126853840460491,5.60863162534863,"9761"
"MMP28","219909_at","NM_024302","","Homo sapiens","Oct 6, 2014","Exemplar sequence","GenBank","gb:NM_024302.1 /DB_XREF=gi:13236529 /GEN=MMP28 /FEA=FLmRNA /CNT=20 /TID=Hs.231958.0 /TIER=FL+Stack /STK=10 /UG=Hs.231958 /LL=79148 /DEF=Homo sapiens matrix metalloproteinase 28 (MMP28), mRNA. /PROD=matrix metalloproteinase 28 /FL=gb:AF330002.1 gb:AF219624.1 gb:NM_024302.1 gb:AF315683.1","NM_024302","matrix metallopeptidase 28","79148","NM_001032278 /// NM_024302 /// NM_032950 /// NR_111988","0006508 // proteolysis // inferred from electronic annotation","0005576 // extracellular region // inferred from electronic annotation /// 0005578 // proteinaceous extracellular matrix // non-traceable author statement /// 0031012 // extracellular matrix // inferred from electronic annotation","0004222 // metalloendopeptidase activity // traceable author statement /// 0005509 // calcium ion binding // inferred from electronic annotation /// 0008233 // peptidase activity // inferred from electronic annotation /// 0008237 // metallopeptidase activity // inferred from electronic annotation /// 0008270 // zinc ion binding // inferred from electronic annotation /// 0016787 // hydrolase activity // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation",-1.86163532802113,1.97033008756498,-4.53811532589901,7.83435444819843e-05,0.0489404018920497,0.87520513899211,"79148"
"MRPL27","224330_s_at","AB049647","","Homo sapiens","Oct 6, 2014","Exemplar sequence","GenBank","gb:AB049647.1 /DB_XREF=gi:13559384 /GEN=MRPL27 /FEA=FLmRNA /CNT=1 /TID=HsAffx.900287.949 /TIER=FL /STK=0 /DEF=Homo sapiens MRPL27 mRNA for mitochondrial ribosomal protein L27 (L27mt), complete cds. /PROD=mitochondrial ribosomal protein L27 (L27mt) /FL=gb:AB049647.1","AB049647","mitochondrial ribosomal protein L27","51264","NM_016504 /// NM_148570 /// NM_148571","0006412 // translation // non-traceable author statement","0005622 // intracellular // inferred from electronic annotation /// 0005739 // mitochondrion // inferred from electronic annotation /// 0005762 // mitochondrial large ribosomal subunit // non-traceable author statement /// 0005840 // ribosome // inferred from electronic annotation /// 0030529 // ribonucleoprotein complex // inferred from electronic annotation","0003735 // structural constituent of ribosome // non-traceable author statement /// 0044822 // poly(A) RNA binding // inferred from direct assay",1.18491764723988,9.13723946407564,4.68741215403483,5.10932949304396e-05,0.0453645189742902,1.94262690408353,"51264"
"MTHFD2","201761_at","NM_006636","","Homo sapiens","Oct 6, 2014","Exemplar sequence","GenBank","gb:NM_006636.2 /DB_XREF=gi:13699869 /GEN=MTHFD2 /FEA=FLmRNA /CNT=242 /TID=Hs.154672.0 /TIER=FL+Stack /STK=67 /UG=Hs.154672 /LL=10797 /DEF=Homo sapiens methylene tetrahydrofolate dehydrogenase (NAD+ dependent), methenyltetrahydrofolate cyclohydrolase (MTHFD2), nuclear gene encoding mitochondrial protein, mRNA. /PROD=methylene tetrahydrofolate dehydrogenase (NAD+dependent), methenyltetrahydrofolate cyclohydrolase,precursor /FL=gb:NM_006636.2","NM_006636","methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase","10797","NM_001040409 /// NM_006636 /// NR_027405 /// XM_006711924","0006730 // one-carbon metabolic process // not recorded /// 0008152 // metabolic process // inferred from electronic annotation /// 0009396 // folic acid-containing compound biosynthetic process // inferred from electronic annotation /// 0009408 // response to heat // inferred from electronic annotation /// 0046653 // tetrahydrofolate metabolic process // inferred from direct assay /// 0055114 // oxidation-reduction process // inferred from electronic annotation","0005615 // extracellular space // inferred from direct assay /// 0005739 // mitochondrion // not recorded /// 0005739 // mitochondrion // inferred from sequence or structural similarity /// 0005829 // cytosol // not recorded","0000287 // magnesium ion binding // inferred from direct assay /// 0003824 // catalytic activity // inferred from electronic annotation /// 0004329 // formate-tetrahydrofolate ligase activity // not recorded /// 0004477 // methenyltetrahydrofolate cyclohydrolase activity // not recorded /// 0004477 // methenyltetrahydrofolate cyclohydrolase activity // inferred from sequence or structural similarity /// 0004487 // methylenetetrahydrofolate dehydrogenase (NAD+) activity // inferred from direct assay /// 0004488 // methylenetetrahydrofolate dehydrogenase (NADP+) activity // inferred from direct assay /// 0016491 // oxidoreductase activity // inferred from electronic annotation /// 0016787 // hydrolase activity // inferred from electronic annotation /// 0042301 // phosphate ion binding // inferred from direct assay",0.827211584119571,11.0563592513738,4.54120411833943,7.76551095810086e-05,0.0489404018920497,1.53508214382627,"10797"
"NFKBID","230052_s_at","AA004799","","Homo sapiens","Oct 6, 2014","Consensus sequence","GenBank","gb:AA004799 /DB_XREF=gi:1448296 /DB_XREF=zh96b05.s1 /CLONE=IMAGE:429105 /FEA=EST /CNT=11 /TID=Hs.60088.0 /TIER=Stack /STK=10 /UG=Hs.60088 /UG_TITLE=ESTs","AA004799","nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, delta","84807","NM_139239 /// XM_005259340 /// XM_006723444","0006954 // inflammatory response // inferred from electronic annotation /// 0032088 // negative regulation of NF-kappaB transcription factor activity // inferred from electronic annotation /// 0033085 // negative regulation of T cell differentiation in thymus // inferred from electronic annotation /// 0043124 // negative regulation of I-kappaB kinase/NF-kappaB signaling // inferred from electronic annotation /// 0070245 // positive regulation of thymocyte apoptotic process // inferred from electronic annotation","0005634 // nucleus // inferred from electronic annotation","0005515 // protein binding // inferred from electronic annotation /// 0051059 // NF-kappaB binding // inferred from electronic annotation",-1.11670533574399,6.57969188349051,-4.849603428801,3.20621551389003e-05,0.0411129624000724,2.37141564872882,"84807"
"OLFM1","205591_at","NM_006334","","Homo sapiens","Oct 6, 2014","Exemplar sequence","GenBank","gb:NM_006334.1 /DB_XREF=gi:5453546 /GEN=AMY /FEA=FLmRNA /CNT=29 /TID=Hs.18551.0 /TIER=FL+Stack /STK=10 /UG=Hs.18551 /LL=10439 /DEF=Homo sapiens neuroblastoma (nerve tissue) protein (AMY), mRNA. /PROD=neuroblastoma (nerve tissue) protein /FL=gb:NM_006334.1 gb:D82343.1","NM_006334","olfactomedin 1","10439","NM_001282611 /// NM_001282612 /// NM_006334 /// NM_014279 /// NM_058199","0007275 // multicellular organismal development // inferred from electronic annotation /// 0007399 // nervous system development // traceable author statement /// 0051259 // protein oligomerization // inferred from electronic annotation","0005576 // extracellular region // inferred from electronic annotation /// 0005615 // extracellular space // inferred from electronic annotation /// 0030054 // cell junction // inferred from electronic annotation /// 0032281 // alpha-amino-3-hydroxy-5-methyl-4-isoxazolepropionic acid selective glutamate receptor complex // inferred from electronic annotation /// 0045202 // synapse // inferred from electronic annotation","0005515 // protein binding // inferred from physical interaction",-2.02048849958806,2.00034743144505,-5.40266030198102,6.50514559044329e-06,0.025920461276264,2.67780187188131,"10439"
